,,,,,,,,,,,,,,,,,
,Summary financials,,,,,,,,,,,,,,,,
,March YE ($mm),,2017A,2018A,2019E,2020E,2021E,2022E,2023E,2024E,2025E,2026E,2027E,2028E,2029E,2030E,
,EBITDA,,108.7,109.5,98.2,94.1,92.6,111.8,124.4,127.6,130.5,133.2,135.8,138.1,140.1,142,
,% margin,,9.90%,9.60%,8.60%,8.20%,7.40%,8.30%,8.60%,8.80%,8.90%,8.90%,8.90%,8.90%,9.00%,9.00%,
,D&A,,0,0,0,36.1,40.5,47.2,51.8,54.8,53.6,52.4,51.1,49.9,48.7,47.5,
,% of capex,,0.00%,0.00%,0.00%,100.40%,79.30%,94.40%,103.70%,109.60%,107.20%,104.70%,102.30%,99.90%,97.40%,95.00%,
,EBIT,,77.1,74.6,62.2,58,52.2,64.6,72.6,72.8,76.9,80.9,84.6,88.1,91.4,94.5,
,% margin,,7.00%,6.60%,5.50%,5.00%,4.20%,4.80%,5.00%,5.00%,5.20%,5.40%,5.60%,5.70%,5.90%,6.00%,
,Tax,,0,0,0,-11,-8.9,-11,-12.3,-12.4,-13.1,-13.7,-14.4,-15,-15.5,-16.1,
,Tax rate,,0.00%,0.00%,0.00%,19.00%,17.00%,17.00%,17.00%,17.00%,17.00%,17.00%,17.00%,17.00%,17.00%,17.00%,
,EBIAT,,0,0,0,47,43.3,53.6,60.2,60.4,63.8,67.1,70.2,73.2,75.9,78.4,
,#NAME?,,31.6,34.9,36,36.1,40.5,47.2,51.8,54.8,53.6,52.4,51.1,49.9,48.7,47.5,
,#NAME?,,-36.1,-37.3,-31,-36,-51,-50,-50,-50,-50,-50,-50,-50,-50,-50,
,#NAME?,,-16.3,-12.6,-10.4,6,16.1,15.2,11.1,4,0,0,0,0,0,0,
,#NAME?,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,#NAME?,,0,-1.5,0.7,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,,,,,,,,,,,,,,,,,
,FCF,,-20.8,-16.5,-4.7,53.1,48.9,61,68.2,64.2,62.4,64.5,66.4,68.1,69.6,70.9,
